index, path, x, y, id,Shape,Color, parent, child, type, size
16,2,92.62078418,-195.2219556,Technology to Planes dump toilet waste at high altitude,Shape, Technology, Technology, Planes dump toilet waste at high altitude, link, 
16,3,103.9275049,-212.5531265,Technology to Planes dump toilet waste at high altitude,Shape, Technology, Technology, Planes dump toilet waste at high altitude, link, 
16,4,114.7444053,-226.6824888,Technology to Planes dump toilet waste at high altitude,Shape, Technology, Technology, Planes dump toilet waste at high altitude, link, 
16,5,131.1736328,-246.3339492,Technology to Planes dump toilet waste at high altitude,Shape, Technology, Technology, Planes dump toilet waste at high altitude, link, 
16,6,149.3866533,-270.2519897,Technology to Planes dump toilet waste at high altitude,Shape, Technology, Technology, Planes dump toilet waste at high altitude, link, 
16,7,163.3747412,-291.9663833,Technology to Planes dump toilet waste at high altitude,Shape, Technology, Technology, Planes dump toilet waste at high altitude, link, 
16,8,171.115,-305.319,Technology to Planes dump toilet waste at high altitude,Shape, Technology, Technology, Planes dump toilet waste at high altitude, link, 
17,0,118.091,-129.149,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,1,123.3819087,-135.0780665,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,2,132.585144,-146.2388959,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,3,140.1475552,-156.5849528,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,4,146.3058843,-166.2541962,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,5,153.4285977,-179.7908213,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,6,160.2208555,-196.7584248,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,7,165.6581445,-213.5020361,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,8,171.6344023,-231.1253271,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,9,180.0435664,-250.7319697,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,10,189.086356,-267.4024537,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,11,196.8615913,-279.7107362,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
17,12,201.362,-286.275,Biology to Sex reduces athletic performance,Shape, Biology, Biology, Sex reduces athletic performance , link, 
18,0,118.091,-129.149,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
18,1,128.325209,-140.6785571,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
18,2,144.404627,-160.7405425,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
18,3,156.0350918,-177.8561411,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
18,4,164.9002598,-193.2850952,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
18,5,176.6960781,-216.0217539,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
18,6,191.7405449,-242.0495122,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
18,7,206.3810879,-263.3293101,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
18,8,215.716,-275.62,Biology to We only use 10% of our brains,Shape, Biology, Biology, We only use 10% of our brains, link, 
19,0,118.091,-129.149,Biology to Vaccines causes autism,Shape, Biology, Biology, Vaccines causes autism, link, 
19,1,137.4774687,-150.7845039,Biology to Vaccines causes autism,Shape, Biology, Biology, Vaccines causes autism, link, 
19,2,164.1628438,-182.853793,Biology to Vaccines causes autism,Shape, Biology, Biology, Vaccines causes autism, link, 
19,3,184.6089687,-209.4963633,Biology to Vaccines causes autism,Shape, Biology, Biology, Vaccines causes autism, link, 
19,4,210.6688438,-242.1229023,Biology to Vaccines causes autism,Shape, Biology, Biology, Vaccines causes autism, link, 
19,5,229.508,-264.246,Biology to Vaccines causes autism,Shape, Biology, Biology, Vaccines causes autism, link, 
20,0,118.091,-129.149,Biology to Men think about sex every 7 seconds,Shape, Biology, Biology, Men think about sex every 7 seconds, link, 
20,1,137.9090859,-150.389834,Biology to Men think about sex every 7 seconds,Shape, Biology, Biology, Men think about sex every 7 seconds, link, 
20,2,167.4676016,-179.8319551,Biology to Men think about sex every 7 seconds,Shape, Biology, Biology, Men think about sex every 7 seconds, link, 
20,3,192.1783047,-202.575123,Biology to Men think about sex every 7 seconds,Shape, Biology, Biology, Men think about sex every 7 seconds, link, 
20,4,222.3480703,-231.4438691,Biology to Men think about sex every 7 seconds,Shape, Biology, Biology, Men think about sex every 7 seconds, link, 
20,5,242.701,-252.183,Biology to Men think about sex every 7 seconds,Shape, Biology, Biology, Men think about sex every 7 seconds, link, 
21,0,118.091,-129.149,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
21,1,128.660707,-140.371791,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
21,2,147.2068789,-158.1782715,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
21,3,163.215707,-171.2904551,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
21,4,177.7915664,-181.497748,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
21,5,199.3843594,-195.2763437,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
21,6,223.965082,-212.5843457,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
21,7,243.8528164,-229.0661387,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
21,8,255.261,-239.461,Biology to Single genes exist for different personality traits,Shape, Biology, Biology, Single genes exist for different personality traits, link, 
22,0,118.091,-129.149,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
22,1,123.5239671,-134.948174,Biology to The Left and right brains have different capabilities,Shape, Biology, Biology, The Left and right brains have different capabilities, link, 
